price,bedroom,hsize,lsize,location,facility
320000000 ,2,36,72,Kedungkandang,2.0
600000000 ,3,70,64,Dau,4.0
459000000 ,3,65,60,Pakis,6.0
227000000 ,2,62,43,Pakis,6.0
250000000 ,2,50,84,Singosari,
130000000 ,1,21,50,Blimbing,10.0
1350000000 ,13,280,84,Tlogomas,7.0
,2,30,60,Sukun,
155000000 ,1,21,50,Lawang,6.0
161000000 ,2,30,60,Sukun,4.0
450000000 ,2,50,78,Pakisaji,3.0
350000000 ,2,36,60,Dau,14.0
250000000 ,2,36,60,Singosari,8.0
170000000 ,2,27,60,Wagir,3.0
,3,60,60,Dau,
479000000 ,2,47,72,Dau,12.0
375000000 ,2,50,72,Dau,2.0
399000000 ,2,36,62,Malang,3.0
431000000 ,2,38,38,Merjosari,
350000000 ,2,48,72,Kedungkandang,9.0
350000000 ,3,65,70,Ploso,3.0
200000000 ,2,36,72,Bandulan,13.0
400000000 ,3,60,72,Ploso,9.0
650000000 ,3,60,77,Dau,4.0
594000000 ,2,42,69,Lowokwaru,6.0
615000000 ,2,55,55,Dau,
235000000 ,2,30,90,Ploso,17.0
200000000 ,2,36,60,Ploso,2.0
200000000 ,2,36,66,Lowokwaru,9.0
155000000 ,2,30,60,Sukun,4.0
276000000 ,2,36,60,Sawojajar,3.0
135000000 ,10,168,168,Merjosari,
385000000 ,2,45,68,Pakis,2.0
225000000 ,2,36,50,Ploso,
169000000 ,2,30,60,Bululawang,
350000000 ,2,38,60,Dau,
650000000 ,3,200,86,Singosari,
594000000 ,42,69,69,Lowokwaru,
375000000 ,3,56,73,Blimbing,9.0
249000000 ,2,38,66,Kedungkandang,7.0
395000000 ,3,45,50,Lowokwaru,3.0
599500000 ,2,60,72,Sawojajar,6.0
2775000000 ,4,200,200,Kedungkandang,16.0
500000000 ,2,40,72,Lowokwaru,7.0
1510000000 ,3,100,115,Batu-Malang,7.0
1500000000 ,11,198,115,Lowokwaru,4.0
500000000 ,2,45,83,Malang,3.0
