price,bedroom,hsize,lsize,location_bin
320.0,2.0,36.0,72.0,Kedungkandang
600.0,3.0,70.0,64.0,other
459.0,3.0,65.0,60.0,other
227.0,2.0,62.0,43.0,other
250.0,2.0,50.0,84.0,other
130.0,1.0,21.0,50.0,Blimbing
,2.0,30.0,60.0,Sukun
155.0,1.0,21.0,50.0,other
161.0,2.0,30.0,60.0,Sukun
450.0,2.0,50.0,78.0,other
350.0,2.0,36.0,60.0,other
250.0,2.0,36.0,60.0,other
170.0,2.0,27.0,60.0,other
,3.0,60.0,60.0,other
479.0,2.0,47.0,72.0,other
375.0,2.0,50.0,72.0,other
399.0,2.0,36.0,62.0,other
431.0,2.0,38.0,38.0,other
350.0,2.0,48.0,72.0,Kedungkandang
350.0,3.0,65.0,70.0,other
200.0,2.0,36.0,72.0,other
400.0,3.0,60.0,72.0,other
650.0,3.0,60.0,77.0,other
594.0,2.0,42.0,69.0,Lowokwaru
615.0,2.0,55.0,55.0,other
235.0,2.0,30.0,90.0,other
200.0,2.0,36.0,60.0,other
200.0,2.0,36.0,66.0,Lowokwaru
155.0,2.0,30.0,60.0,Sukun
276.0,2.0,36.0,60.0,other
385.0,2.0,45.0,68.0,other
225.0,2.0,36.0,50.0,other
169.0,2.0,30.0,60.0,other
350.0,2.0,38.0,60.0,other
650.0,3.0,200.0,86.0,other
375.0,3.0,56.0,73.0,Blimbing
249.0,2.0,38.0,66.0,Kedungkandang
395.0,3.0,45.0,50.0,Lowokwaru
599.5,2.0,60.0,72.0,other
2775.0,4.0,200.0,200.0,Kedungkandang
500.0,2.0,40.0,72.0,Lowokwaru
1510.0,3.0,100.0,115.0,other
500.0,2.0,45.0,83.0,other
146.0,2.0,30.0,60.0,other
250.0,2.0,38.0,66.0,other
815.0,3.0,129.0,167.0,other
225.0,2.0,62.0,43.0,other
475.0,2.0,60.0,96.0,Kedungkandang
174.0,2.0,28.0,60.0,Sukun
298.0,2.0,49.0,67.0,Sukun
601.0,2.0,45.0,83.0,other
530.0,2.0,45.0,72.0,other
279.0,2.0,36.0,66.0,other
300.0,2.0,55.0,90.0,Lowokwaru
350.0,2.0,36.0,57.0,other
499.0,3.0,70.0,72.0,other
265.0,2.0,36.0,74.0,other
300.0,2.0,55.0,90.0,other
675.0,2.0,68.0,70.0,other
1200.0,4.0,210.0,85.0,Blimbing
473.0,2.0,40.0,67.0,Sukun
1900.0,4.0,188.0,188.0,other
535.0,2.0,96.0,103.0,other
150.0,2.0,25.0,60.0,other
415.0,2.0,45.0,98.0,other
252.0,2.0,36.0,72.0,other
1994.0,4.0,100.0,205.0,other
765.0,3.0,62.0,83.0,other
1200.0,5.0,288.0,144.0,other
465.0,3.0,70.0,56.0,other
2600.0,4.0,150.0,260.0,Lowokwaru
395.0,3.0,60.0,70.0,Kedungkandang
530.0,2.0,48.0,60.0,Lowokwaru
1129.0,6.0,82.0,60.0,other
660.5,2.0,50.0,118.0,other
351.0,2.0,36.0,60.0,Sukun
190.0,2.0,30.0,60.0,other
899.0,2.0,57.0,55.0,other
1300.0,2.0,65.0,115.0,Klojen
575.0,3.0,63.0,62.0,other
279.0,2.0,36.0,66.0,other
300.0,2.0,60.0,25.0,other
450.0,2.0,46.0,63.0,Sukun
459.0,3.0,65.0,60.0,other
304.0,2.0,33.0,64.0,other
217.0,2.0,30.0,72.0,other
550.0,2.0,70.0,70.0,Lowokwaru
1900.0,4.0,200.0,279.0,Lowokwaru
335.0,2.0,40.0,65.0,Sukun
369.0,2.0,50.0,60.0,Kedungkandang
,2.0,85.0,85.0,Lowokwaru
299.0,2.0,48.0,66.0,Sukun
344.0,2.0,50.0,60.0,other
325.0,2.0,36.0,70.0,other
550.0,2.0,45.0,80.0,Lowokwaru
530.0,2.0,48.0,60.0,Lowokwaru
425.0,2.0,45.0,72.0,other
335.0,2.0,40.0,65.0,Sukun
499.0,3.0,65.0,65.0,other
2900.0,5.0,155.0,163.0,Lowokwaru
992.0,3.0,75.0,92.0,Blimbing
,2.0,45.0,45.0,other
1300.0,6.0,208.0,208.0,other
650.0,4.0,160.0,86.0,other
1100.0,4.0,180.0,91.0,other
250.0,2.0,36.0,60.0,other
599.0,3.0,57.0,66.0,other
800.0,3.0,70.0,87.0,Sukun
,3.0,135.0,135.0,Blimbing
1400.0,3.0,144.0,119.0,Blimbing
375.0,2.0,50.0,78.0,other
1350.0,4.0,129.0,160.0,other
330.0,2.0,38.0,60.0,other
4800.0,4.0,275.0,240.0,Blimbing
683.0,3.0,60.0,69.0,Lowokwaru
780.0,2.0,58.0,81.0,Lowokwaru
675.0,3.0,60.0,84.0,Lowokwaru
2500.0,4.0,200.0,257.0,Lowokwaru
380.0,2.0,40.0,60.0,other
345.0,2.0,50.0,60.0,Kedungkandang
375.0,2.0,40.0,90.0,other
375.0,2.0,40.0,90.0,other
840.0,2.0,60.0,63.0,other
3400.0,4.0,250.0,318.0,other
3200.0,3.0,200.0,190.0,other
950.0,2.0,65.0,84.0,other
635.0,2.0,67.0,98.0,other
1300.0,3.0,100.0,120.0,Blimbing
330.0,2.0,40.0,40.0,other
850.0,2.0,70.0,90.0,Blimbing
2300.0,3.0,150.0,218.0,other
425.0,2.0,36.0,60.0,other
1000.0,5.0,90.0,87.0,other
2900.0,4.0,200.0,210.0,other
2400.0,3.0,96.0,126.0,Lowokwaru
1180.0,4.0,114.0,97.0,Blimbing
3800.0,4.0,250.0,313.0,Sukun
950.0,4.0,105.0,87.0,Sukun
3500.0,5.0,250.0,300.0,other
435.0,2.0,48.0,60.0,other
335.0,2.0,40.0,90.0,Kedungkandang
1100.0,4.0,180.0,91.0,other
780.0,2.0,58.0,81.0,other
1350.0,3.0,120.0,120.0,Blimbing
399.5,2.0,45.0,60.0,Kedungkandang
6000.0,6.0,601.0,401.0,Lowokwaru
3000.0,5.0,200.0,210.0,Lowokwaru
1300.0,4.0,120.0,145.0,Kedungkandang
910.0,2.0,80.0,143.0,Sukun
675.0,2.0,45.0,85.0,other
2350.0,4.0,203.0,128.0,other
130.0,3.0,60.0,60.0,Lowokwaru
1100.0,2.0,100.0,120.0,Sukun
975.0,2.0,50.0,90.0,Blimbing
295.0,2.0,30.0,66.0,other
1600.0,4.0,120.0,120.0,other
1600.0,2.0,178.0,178.0,other
900.0,3.0,103.0,70.0,Lowokwaru
2200.0,4.0,120.0,184.0,other
579.5,2.0,45.0,98.0,other
,2.0,85.0,85.0,other
650.0,2.0,70.0,72.0,other
228.0,2.0,44.0,52.0,other
3450.0,4.0,200.0,320.0,other
600.0,3.0,180.0,140.0,other
950.0,4.0,175.0,175.0,other
431.0,2.0,38.0,72.0,Lowokwaru
1700.0,4.0,150.0,220.0,Lowokwaru
425.0,2.0,54.0,72.0,Sukun
1550.0,4.0,145.0,103.0,Lowokwaru
1750.0,3.0,89.0,105.0,other
4900.0,5.0,200.0,300.0,other
1750.0,4.0,135.0,126.0,other
1600.0,3.0,165.0,171.0,Lowokwaru
2600.0,6.0,350.0,233.0,other
